dataset,rows,unique_examples,spatial_edges,temporal_edges,other_edges,nonzero,nonzero_pct,mean_label,median_label,p90_label,max_label,mean_tokens,total_tokens,avg_rows_per_example
gsm8k,240,40,240,0,0,75,31.25,0.05764420349551968,0.0,0.23318813031192837,0.5100001685610485,21141.708333333332,5074010.0,6.0
multiarith,240,40,240,0,0,52,21.666666666666668,0.02663560359495164,0.0,0.10454141501976293,0.3729475184248473,18589.795833333334,4461551.0,6.0
svamp,240,40,240,0,0,51,21.25,0.035141938533654396,0.0,0.10454141501976293,0.4428272124813067,18432.791666666668,4423870.0,6.0
aqua,240,40,240,0,0,136,56.666666666666664,0.09400324284956042,0.07772937677064279,0.2415940651559642,0.6392031359830666,14794.4625,3550671.0,6.0
mmlu,184,40,184,0,0,44,23.91304347826087,0.026637560006624223,0.0,0.10454141501976293,0.31362424505928876,15948.96195652174,2934609.0,4.6
humaneval,1013,28,336,677,0,457,45.113524185587366,0.08945531679280823,0.0,0.31091750708257115,1.0,15099.301085883515,15295592.0,36.17857142857143
